SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43152,13,1,Accepted,30,411,10:36:57
43151,72,4,Wrong Answer,14,914,10:36:32
43150,116,4,Runtime Error,2,2389,10:36:17
43149,84,3,Wrong Answer,20,9301,10:36:10
43148,46,3,Accepted,30,754,10:36:03
43147,46,3,Wrong Answer,0,753,10:35:20
43146,102,3,Accepted,30,255,10:34:18
43145,49,3,Accepted,30,750,10:34:13
43144,63,3,Wrong Answer,14,1087,10:33:38
43143,41,1,Compile Error,0,405,10:33:32
43142,116,4,Wrong Answer,2,1559,10:31:07
43141,48,4,Runtime Error,0,719,10:30:42
43140,19,4,Runtime Error,8,688,10:30:06
43139,117,3,Accepted,30,272,10:30:00
43138,6,4,Runtime Error,16,1801,10:29:31
43137,19,4,Runtime Error,8,688,10:29:30
43136,60,3,Accepted,30,536,10:29:26
43135,69,3,Accepted,30,509,10:28:43
43134,10,3,Accepted,30,299,10:28:35
43133,84,3,Wrong Answer,10,6445,10:28:35
43132,31,1,Compile Error,0,145,10:28:21
43131,60,3,Wrong Answer,0,536,10:28:00
43130,62,3,Runtime Error,24,694,10:27:18
43129,16,3,Runtime Error,24,1589,10:27:11
43128,100,3,Wrong Answer,4,155,10:26:38
43127,68,3,Accepted,30,884,10:26:32
43126,62,3,Runtime Error,0,707,10:26:12
43125,73,3,Accepted,30,615,10:26:02
43124,55,2,Wrong Answer,34,589,10:25:42
43123,10,3,Runtime Error,20,299,10:24:14
43122,83,2,Accepted,40,507,10:24:14
43121,53,3,Wrong Answer,24,930,10:23:50
43120,45,1,Accepted,30,490,10:23:03
43119,55,2,Wrong Answer,18,587,10:22:14
43118,39,1,Wrong Answer,0,384,10:22:02
43117,29,2,Wrong Answer,0,651,10:21:51
43116,55,2,Wrong Answer,18,587,10:21:35
43115,6,4,Runtime Error,16,1638,10:21:22
43114,62,3,Runtime Error,4,694,10:21:05
43113,29,2,Wrong Answer,0,649,10:20:58
43112,70,4,Accepted,30,1356,10:20:54
43111,111,3,Accepted,30,898,10:20:48
43110,6,1,Accepted,30,373,10:20:14
43109,69,3,Wrong Answer,14,257,10:20:06
43108,70,4,Wrong Answer,16,1357,10:20:02
43107,6,4,Runtime Error,16,1646,10:19:45
43106,108,1,Accepted,30,282,10:19:20
43105,6,4,Runtime Error,16,1663,10:19:03
43104,84,3,Wrong Answer,8,6459,10:18:41
43103,6,4,Runtime Error,16,1582,10:18:24
43102,69,3,Runtime Error,10,212,10:18:02
43101,40,3,Accepted,30,799,10:16:11
43100,110,1,Accepted,30,257,10:16:06
43099,110,1,Accepted,30,257,10:15:56
43098,29,2,Wrong Answer,0,529,10:15:32
43097,45,1,Wrong Answer,0,478,10:14:45
43096,53,3,Wrong Answer,14,635,10:13:24
43095,0,3,Wrong Answer,24,226,10:11:20
43094,55,2,Wrong Answer,0,494,10:11:01
43093,87,4,Accepted,30,1027,10:10:39
43092,94,3,Accepted,30,895,10:10:11
43091,62,3,Runtime Error,4,686,10:08:28
43090,49,1,Accepted,30,391,10:08:19
43089,31,4,Runtime Error,0,656,10:08:10
43088,50,1,Accepted,30,312,10:06:58
43087,87,4,Wrong Answer,16,924,10:06:35
43086,68,4,Accepted,30,2299,10:06:02
43085,62,3,Runtime Error,0,701,10:05:40
43084,36,1,Wrong Answer,0,363,10:04:59
43083,94,3,Wrong Answer,24,891,10:04:50
43082,51,1,Accepted,30,422,10:03:32
43081,58,1,Wrong Answer,10,411,10:02:46
43080,69,2,Accepted,40,616,10:02:17
43079,108,4,Accepted,30,1271,10:01:16
43078,7,1,Accepted,30,401,10:01:06
